Type	Level	Build Cost Gold	Upgrade Cost Water	Upgrade Time(hours)	Lab Level Require	Total Damage	Damage Per Strike	Damage Boost(%)	Speed Boost	Size Limit
16	1	15000				300	50			
16	2	16500	200000	24	1	330	55			
16	3	18000	500000	48	2	360	60			
16	4	20000	1000000	72	3	390	65			
16	5	22000	2000000	96	6	420	70			
17	1	15000				600	15			
17	2	16500	300000	24	2	800	20			
17	3	18000	600000	48	4	1000	25			
17	4	20000	1200000	72	5	1200	30			
17	5	22000	2400000	120	6	1400	35			
18	1	23000						130	20	
18	2	25000	450000	48	3			140	22	
18	3	27000	900000	72	4			150	24	
18	4	30000	1800000	120	5			160	26	
18	5	33000	3000000	168	6			180	28	
19	1	23000								4
19	2	29000	4000000	120	5					30
